Description,Price
.012  MICROFAB NITINOL GUIDWIR,"$1,188.00 "
.012X200 MICROFAB NITINOL GUID,"$1,012.00 "
.014X180 ASAHI PTCA GUIDWRE,$150.00 
.014X180 CONFIANZ PTCA GUIDWRE,$200.00 
.018X180 GLIDEWIRE GUIDEWIRE,$350.00 
.018X80 TIP NITREX GUIDEWIRE,$116.66 
.035 80 CM GLIDEWIRE GUIDEWR,$93.50 
.035 EXCHANG AMPLATZ GUIDEWIR,$50.00 
.035 GLIDEWIRE STIFF GUIDWIRE,$107.50 
0.014X300 ASAHI 6PTCA GUIDWR,$200.00 
0.035 GLIDEWIRE STIFF SHAFT,$93.50 
0.035 X 260 WIRE GUID TFE COA,$120.00 
0.035X180 STARTER GUIDEWIRE,$22.00 
0.035X260 LUNDERQUIST GUIDEWR,$209.60 
0.035X260 STARTER GUIDEWIRE,$34.78 
"0.038"" X 180 GLIDEWIRE GDWRI",$82.00 
1.4 FRX .041 REPERFUSION CATH,"$2,980.00 "
1.5X20 MONORAIL PTA BALLOON,$390.00 
1.7X150MICROCATHETER .014IN,"$1,100.00 "
1/2 NORMAL SALINE WITH 20MEQ K,$7.98 
1/2NS  1000ML,$2.10 
10 ML WHITE MEDALLION SYRINGE,$3.00 
10 X 30 PENUMBRA EMBLZTNCOIL,"$4,508.00 "
10 X 6 ENDOPROSTH STENT GRAFT,"$8,610.00 "
1000 INFUSOR BAG W/DUAL PRES V,$21.00 
100UM 2ML EMBOZENE MICROSP,$350.00 
10-8 X 40 XACT CAROTID STENT,"$3,500.00 "
10FR DRAINAGE CATH STND LOOP,$128.00 
10MM  ENDOPROSTHESIS STENT GRA,"$8,610.00 "
10X10 ENDOPRSTSS PERCUTN CATH,"$5,442.00 "
10X20 EVERCROSS .035 PTA,$160.00 
10X20 OCCLUSION SYSTEM 2D,$999.60 
10X24 135CM CAROTID WALLSTENT,"$4,390.00 "
10X25X0.035 CUBED HELICAL COI,"$1,493.80 "
10X30 EMBOLIZATION COIL,"$1,198.50 "
10X30 XACT CAROTID STENT,"$3,500.00 "
10X31 135CM CAROTID WALLSTENT,"$4,390.00 "
10X40X0.035 CUBED HELICAL COI,"$1,997.06 "
10X60  S.M.A.R.T. STENT,"$1,280.00 "
10X65 ARROW INTRO/SHEATH,$166.24 
10X8 ENDOPROSTESIS PERCUT 40,"$5,442.00 "
11 X 35 PENUMBRA EMBLZTNCOIL,"$4,554.00 "
11 X 45 PENUMBRA EMBLZTNCOIL,"$4,646.00 "
11.4 FR VORTEX DUAL LUMEN  P,$750.00 
11-DEOXYCORTISOL,$107.00 
12 X 35 PENUMBRA EMBLZTNCOIL,"$4,554.00 "
12 X 45 PENUMBRA EMBLZTNCOIL,"$4,646.00 "
12X20 OCCLUSION SYSTEM 2D,$999.60 
12X30 CM ABSCESSN DRAIN CATH,$116.00 
12X30 EMBOLIZATION COIL,"$1,198.00 "
12X30 INTERLOCK OCCLUSN SYSTM,$999.60 
12X40X120 PROTEGE STENT,"$1,500.00 "
12X46 RELIANT STENT GRAFTCATH,$500.00 
12X8 AMPLATZER VASCULAR PLUG,"$1,484.00 "
13 X 48 PENUMBRA EMBLZTNCOIL,"$4,674.00 "
135CM CROSS SUPPOR CATH,$334.00 
135X10 MICROCATHETER W 180CM,"$1,016.00 "
14 X 30 CHECK-FLO INTRODUCER,$122.00 
14 X 50 PENUMBRA EMBLZTNCOIL,"$4,692.00 "
"14-3-3 PROTEIN, CSF",$121.00 
14FX15 DOUBLE LUMEN CATH,$140.00 
14GAX11CM COAXIAL NEEDLE,$68.68 
14X20 SLX DOUBLE LUMEN CATH W,$140.00 
14X30 CM ABSCESSN DRAIN CATH,$116.00 
14X30 CONCERTO HELIX EMB COIL,"$1,198.50 "
14X30 INTERLOCK OCCLUSN SYSTM,$999.60 
14X60 PROTEGE GPS .035 STENT,"$1,500.00 "
14X8 AMPLATZER VASCULAR PLUG,"$1,484.00 "
15 X 25 X 0.035 HELICAL COIL,"$1,493.80 "
15 X 57 PENUMBRA EMBLZTNCOIL,"$4,758.00 "
15.5 FR PLEURAL DRAINAGE CATH,"$2,000.00 "
15.5X 55 HD LONG TERM CATH,$250.00 
15.5X24 HD DIALYSIS CATH SET,$250.00 
15.5X28HD LONG DIALYSIS CATH,$250.00 
150X.035 SUPPORT2 CATHETER,$334.00 
150X18CM MICROCATH FLEX,"$1,874.40 "
150X6 EXCELSIOR MICROCATHETER,"$1,874.40 "
15X40X0.035 CUBED HELICAL COI,"$1,997.06 "
16FR 45CM JEJUNAL FEED TUBE,$447.39 
16FR MIC-KEY G INTRODUCER KIT,$411.00 
16X40X EMBOLIZATION COIL,"$1,198.50 "
16X8 AMPLATZER VASCULAR PLUG,"$1,484.00 "
16X90 WALLSTENT ENDOPROSTH,"$3,378.42 "
17 0H PROGESTERONE,$65.00 
17-HYDROXYPREGNENOLONE,$129.00 
17-OH CORT. STER.,$45.00 
18 FR 45 JEJUNAL FEED TUBE,$447.39 
18FR BALLOON MIC PEG TUBE,$59.20 
18GAX6 TEMNO BX NEEDLE,$218.48 
18MM AMPLATZER VASCUL PLUG 2,"$1,600.00 "
18X11 TEMNO BX NEEDLE,$43.70 
18X20 TEMNO BX DEVICE,$74.29 
18X90 WALLSTENT ENDOPROSTH,"$3,378.42 "
190 X 1.1 EMBOLIC PROTECT SYSM,"$2,738.00 "
