Description,Price
HC BONE MARROW HARVEST ALLOGEN,"$3,876.66 "
HC LOCAL CELL DONOR SEARCH MANAGEMENT,"$2,120.00 "
HC NMDP CELL DONOR SEARCH MANAGEMENT,"$52,500.00 "
HC RBC DEPLETION OF HARVEST,"$1,251.00 "
HC THAW PRESERVED STEM CELLS,"$1,251.00 "
HC VOLUME DEPLETE OF HARVEST,"$1,251.00 "
HC WASH HARVEST STEM CELLS,"$1,251.00 "
HC ALS 2,"$4,025.00 "
HC ALS1-EMERGENCY,"$2,875.00 "
HC BLS - EMERGENCY,"$1,725.00 "
HC GROUND MILEAGE PER STATUTE MILE,$51.75 
"HC COMPUTER ASSISTED DEVICE, INTELLIJOINT","$6,085.80 "
HC OPERATING ROOM FLAT FEE,"$4,303.53 "
HC OPERATING ROOM PER MINUTE,$143.45 
HC TERMINATED PROCEDURE,"$4,620.96 "
HC TERMINATED PROCEDURE,"$4,620.96 "
HC USE OF ROBOTIC,"$43,175.54 "
HC USE OF ROBOTIC - DAVINCI SINGLE PORT,"$43,175.54 "
HC ANESTHESIA BASE FEE,$521.05 
HC ANESTHESIA PER MINUTE,$4.83 
HC MOD SED SAME PHYS/QHP 5/>YRS,$254.34 
HC SWAN GANZ MONITORING,$130.34 
HC EVOKED AUDITORY TEST,$315.13 
HC NASOPHARYNGOSCOPY W ENDOSCOPE,"$3,313.38 "
"HC AUDITOR EVOKE POTENT, COMPRE",$856.12 
HC BASIC VESTIBULAR EVAL,$315.13 
HC CALORIC VSTBLR TEST W/REC BITHERMAL,$798.22 
HC COMPREHENSIVE HEARING TEST,$305.50 
HC SCREEN TONE AIR ONLY,$231.58 
HC TYMPANOMETRY & REFL THR,$186.05 
HC VRA,$362.25 
HC BLOOD SPLIT UNIT,"$1,510.51 "
HC CRYOPRECIPITATE EACH UNIT,$606.92 
HC CRYOPRECIPITATEREDUCEDPLASMA,$724.35 
"HC PLASMA, FRZ BETWEEN 8-24HOUR",$846.93 
HC PLATE PHERES LEUKOREDU IRRAD,"$7,409.49 "
HC PLATELET PHERES LEUKOREDUCED,"$5,721.92 "
"HC PLATELETS, HLA-M, L/R, UNIT","$8,448.01 "
"HC PLATELETS, PHERESIS","$4,716.48 "
HC RBC DEGLYCEROLIZED,"$4,390.07 "
HC RBC LEUKOCYTES REDUCED,"$2,126.70 "
HC RED BLOOD CELLS UNIT,"$1,629.31 "
HC WASHED RED BLOOD CELLS UNIT,"$3,941.31 "
HC WHOLE BLOOD FOR TRANSFUSION,"$1,779.80 "
HC BLOOD TRANSFUSION SERVICE,"$3,003.05 "
HC ABLATE ARRHYTHMIA ADD ON,"$21,922.16 "
HC ABP MONITORING 24+ HRS; RECORDING,$301.94 
HC ABP MONITORING 24+ HRS; SCANNING ANALYSIS,$301.94 
HC CARDIAC OUTPUT MEASUREMENT,$70.37 
"HC CATH/EP CARDIOVERSION ELECTRIC, EXT","$6,894.83 "
HC CATH/EP COMPRE ELECTROPHYSIOLOGIC W/ ARRHYT HMIA INDUCT,"$48,453.35 "
"HC CATH/EP ELECTROPHYS MAP 3D, ADD-ON","$31,415.53 "
HC CATH/EP ESOPHGL REC ATR EGRM +-VENTR EGRM,"$1,137.47 "
HC CATH/EP ESOPHGL REC ATR EGRM +-VENTR EGRM W/PACG,"$1,327.04 "
HC CATH/EP HEART FLOW RESERVE MEASURE,"$6,297.11 "
HC CATH/EP HEART RHYTHM PACING,"$3,407.60 "
HC CATH/EP ICAR CATHETER ABLATION ATRIOVENTR NODE FUNCTION,"$15,972.81 "
HC CATH/EP ILR DEVICE EVAL PROGR,"$1,925.96 "
HC CATH/EP ILR DEVICE INTERROGATE,"$1,925.96 "
HC CATH/EP INTERROGATION VAD IN PERSON,$379.16 
HC CATH/EP INTRACARDIAC ECG (ICE),"$7,281.23 "
HC CATH/EP PM DEVICE EVAL IN PERSON,"$1,925.96 "
"HC CATH/EP PM DEVICE PROGR EVAL,  DUAL",$569.94 
HC CATH/EP PRE-OP PM DEVICE EVAL,"$1,925.96 "
"HC CATH/EP STIMULATION, PACING HEART","$11,674.11 "
HC CATH/EP TILT TABLE EVALUATION,"$8,442.84 "
"HC DOPPLER ECHO EXAM, HEART","$1,522.66 "
HC ELECTROPHYSIOLOGY EVALUATION,"$13,642.34 "
HC EP & ABLATE SUPRAVENT ARRHYT,"$22,361.69 "
HC EP & ABLATE VENTRIC TACHY,"$58,300.52 "
HC INTERROG DEVICE EVAL HEART,"$1,925.96 "
HC PAD REHAB PER SESSION,$192.48 
HC PERI-PX DEVICE EVAL & PRGR,"$1,925.96 "
HC PERQ TRANSCATH CLOSURE PDA,"$19,257.21 "
HC PPM PROGRAM EVAL DUAL,$569.94 
HC PRGRMG EVAL IMPLANTABLE DFB 1 SNGL,"$1,376.19 "
HC PRGRMG EVAL IMPLANTABLE DFB 1DUAL,"$1,581.83 "
HC PRGRMG EVAL IMPLANTABLE DFB MULT,"$1,787.47 "
HC TX ATRIAL FIB PULM VEIN ISOL,"$59,249.61 "
HC TX L/R ATRIAL FIB ADDL,"$22,515.05 "
HC VASCULAR EMBOLIZATION OR OCCLUSION ARTERIAL RS&I,"$31,440.77 "
HC VASCULAR EMBOLIZATION OR OCCLUSION HEMORRHAGE,"$31,440.77 "
HC VASCULAR EMBOLIZATION OR OCCLUSION VENOUS RS&I,"$31,440.77 "
HC CATH/EP BIOPSY OF HEART LINING,"$4,605.41 "
HC CATH/EP CMBN R HRT & RETROGRADE L HRT CATHJ CGEN ANOMALY,"$31,526.62 "
HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ NTC SEPTUM CGEN,"$37,517.03 "
HC CATH/EP CMBN R HRT T-SEPTAL L HRT CATHJ SEPTAL OPNG CGEN,"$27,876.35 "
HC CATH/EP CORO ART/GRFT ANGIO S&I,"$22,874.17 "
HC CATH/EP CORONARY ART ANGIO S&I,"$19,636.85 "
HC CATH/EP DRAINAGE OF HEART SAC,"$2,644.43 "
HC CATH/EP DRUG ADMN&HEMODYMIC MEAS,"$4,006.49 "
HC CATH/EP ELTRD/INSERT PACE-DEFIB,"$48,407.47 "
HC CATH/EP FEM/POPL REVAS W/ATHER,"$16,663.50 "
HC CATH/EP FEM/POPL REVAS W/TLA,"$12,394.99 "
HC CATH/EP FEM/POPL REVASC W/STENT,"$13,771.54 "
HC CATH/EP ILIAC REVASC,"$11,261.15 "
HC CATH/EP ILIAC REVASC STENT ADDON,"$19,924.96 "
HC CATH/EP ILIAC REVASC W/STENT,"$13,734.11 "
HC CATH/EP IMPLANT PAT-ACTIVE HT RECORD,"$10,733.47 "
HC CATH/EP INJ L VENT/ATRIAL ANG,"$6,752.34 "
HC CATH/EP INJ PULM ART HRT CATH,"$6,905.69 "
HC CATH/EP INJ R VENT/ATRIAL ANG,"$6,752.34 "
HC CATH/EP INJ SUPRVLV AORTGRAPY,"$7,672.46 "
HC CATH/EP INJECTION EXT VENOGRAPHY,"$12,280.28 "
HC CATH/EP INSERT IA PERCUT DEVICE,"$2,315.99 "
HC CATH/EP INSERT/PLACE HEART CATHETER,"$6,557.93 "
HC CATH/EP INSJ ELTRD 1CHMBR 1 ELTRD PRM PM/1CHMBR CVDFB,"$6,931.47 "
HC CATH/EP INSJ NON-TUN CTR CVC AGE 5 YR/>,"$3,098.45 "
HC CATH/EP INSJ NON-TUN CTR CVC UNDER 5 YR,"$3,656.31 "
HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR,"$14,273.86 "
HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD ATR&VENTR,"$16,406.30 "
HC CATH/EP INSJ/RPLCMT PRM PM W/TRANSVNS ELTRD VENTR,"$15,093.75 "
HC CATH/EP INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,"$6,931.47 "
"HC CATH/EP INTRAVASC US, HEART ADD-ON","$5,753.74 "
HC CATH/EP IV DOPPLER; EA ADDTL VESSEL,"$5,037.69 "
HC CATH/EP IVUS ADDITIONAL VESSEL,"$4,602.99 "
HC CATH/EP L HRT ART/GRFT ANGIO,"$27,093.89 "
HC CATH/EP L HRT ART/VENTRCLE ANGIO,"$24,630.59 "
HC CATH/EP L HRT CATH TRNSPTL PUNC,"$8,524.95 "
HC CATH/EP L HRT CATH W/VENTGRPHY,"$27,093.89 "
HC CATH/EP L VENTRIC PACING LEAD ADD-ON,"$15,186.73 "
HC CATH/EP P INJ CONG CARD CATH,"$8,592.57 "
HC CATH/EP PERCUT CORONARY THROMBECTOMY,"$6,804.26 "
HC CATH/EP PLACE CATH CAROTID/INOM ART,"$8,649.32 "
HC CATH/EP PLACE CATH CAROTID/INOM ART,"$9,428.16 "
HC CATH/EP PLACE CATH SUBCLAVIAN ART,"$9,428.16 "
HC CATH/EP PLACE CATH THORACIC AORTA,"$6,314.02 "
HC CATH/EP PLACE CATHETER IN VEIN,"$1,584.24 "
HC CATH/EP PLACE CATHETER IN VEIN,"$3,499.34 "
HC CATH/EP PRIM ART MECH THROMBCTMY,"$14,075.83 "
HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP 1 VSL,"$19,924.96 "
HC CATH/EP PRQ TRLUML P-ART BALO ANGIOP EA VSL,"$19,924.96 "
HC CATH/EP R HRT ART/GRFT ANGIO,"$29,064.53 "
HC CATH/EP R HRT CORONARY ART ANGIO,"$25,615.91 "
HC CATH/EP R&L HRT ART/VENT ANGIO,"$29,064.53 "
HC CATH/EP R&L HRT ART/VENT ANGIO,"$33,004.60 "
HC CATH/EP R&L HRT CATH W/VENTGRPHY,"$35,467.90 "
HC CATH/EP REMOVAL PACEMAKER ELECTRODE,"$14,312.50 "
HC CATH/EP REMOVAL PERMANENT PACEMAKER PULSE GENERATOR,"$9,541.67 "
"HC CATH/EP REMOVE ELTRD, TRANSVEN","$9,480.08 "
HC CATH/EP REMOVE PAT-ACTIVE HT RECORD,"$2,957.96 "
HC CATH/EP REMOVE PULSE GENERATOR,"$5,396.32 "
HC CATH/EP REPOSITION PACING-DEFIB LEAD,"$3,215.01 "
"HC CATH/EP REVISE POCKET, PACEMAKER","$3,234.89 "
"HC CATH/EP REVISE POCKET, PACING-DEFIB","$3,881.87 "
HC CATH/EP REVISION OF AORTIC VALVE,"$11,263.56 "
HC CATH/EP REVISION OF HEART CHAMBER,"$7,728.00 "
HC CATH/EP REVISION OF PULMONARY VALVE,"$13,664.07 "
HC CATH/EP REVSC OPNPRQ TIBPER STNT,"$19,924.96 "
HC CATH/EP RIGHT HEART CATH,"$24,630.59 "
HC CATH/EP RMVL TRANSVNS PM ELTRD 1 LEAD SYS ATR/VENTR,"$11,449.52 "
"HC CATH/EP RT HEART CATH, CONGENITAL","$6,798.23 "
HC CATH/EP SECONDY PERC THROMBECT,"$5,198.29 "
HC CATH/EP SLCTV CATHJ 1ST 2ND ORD THRC/BRCH/CPHLC BRNCH,"$2,719.29 "
HC CATH/EP SLCTV CATHJ 2ND ORDER ABDL PEL/LXTR ART BRNCH,"$8,881.16 "
HC CATH/EP SLCTV CATHJ 3RD+ ORD SLCTV ABDL PEL/LXTR BRNCH,"$10,568.04 "
HC CATH/EP SLCTV CATHJ EA 1ST ORD ABDL PEL/LXTR ART BRNCH,"$5,300.93 "
HC CATH/EP TIB/PER REVASC ADD-ON,"$6,642.46 "
HC CATH/EP TIB/PER REVASC W/ATHER,"$13,734.11 "
HC CATH/EP TIB/PER REVASC W/STENT,"$13,734.11 "
HC CATH/EP TIB/PER REVASC W/TLA,"$15,024.92 "
HC CATH/EP TIB/PER REVSC STNT&ATHER,"$70,067.60 "
HC CATH/EP TRANSCATH CLOSURE OF ASD,"$30,654.80 "
HC CATH/EP TRANSCATH CLOSURE OF VSD,"$57,769.46 "
"HC CATH/EP TRANSCATH STENT, CCA W/EPS","$10,367.60 "
HC CATH/EP UPGRADE OF PACEMAKER SYSTEM,"$15,946.07 "
HC ECMO/ECLS DAILY MGMT ARTERY,"$10,205.45 "
HC ECMO/ECLS DAILY MGMT-VENOUS,"$10,205.45 "
HC ECMO/ECLS INITIATION ARTERY,"$10,005.35 "
HC ECMO/ECLS INITIATION VENOUS,"$10,005.35 "
HC ECMO/ECLS INSJ PRPH CANNULA PERCUTANEOUS BIRTH - 5 YRS OLD,"$4,012.52 "
HC ECMO/ECLS INSJ PRPH CANNULA; OPEN 6 YRS & OLDER,"$4,012.52 "
HC ECMO/ECLS INSJ PRPH CANNULA; OPEN BIRTH - 5 YRS OLD,"$4,012.52 "
HC ECMO/ECLS INSJ PRPH CANNULA; PERCUTANEOUS 6 YRS & OLDER,"$4,012.52 "
HC ECMO/ECLS INSJ PRPH CANNULA; STERNOTOMY OR THORACOTOMY 6 YRS & OLDER,"$4,012.52 "
HC ECMO/ECLS REPOS PERPH CNULA >6 YRS,"$4,012.52 "
HC ECMO/ECLS REPOS PERPH CNULA OPEN >6 YRS,"$4,012.52 "
HC ECMO/ECLS REPOS PERPH CNULA THORACOTOMY > 6YRS,"$4,012.52 "
HC ECMO/ECLS RMVL CTR CANNULA >6 YRS,"$4,012.52 "
HC ECMO/ECLS RMVL PERPH CANNULA > 6YRS,"$4,012.52 "
HC ECMO/ECLS RMVL PERPH CANNULA >6 YRS,"$4,012.52 "
HC ECMO/ECLS RMVL PERPH CANNULA BIRTH - 5YRS,"$4,012.52 "
HC ECMO/ECLS RMVL PERPH CANNULA BIRTH - 5YRS,"$4,012.52 "
HC FEM/POPL REVSC STNT&ATHR,"$23,356.67 "
HC IMPL PRESSURE SENSOR W/ANGIO,"$32,530.05 "
HC IMPLANTING LARIAT,"$27,148.22 "
HC INS CATH REN ART 1ST BILAT,"$16,743.20 "
HC INS/REP SUBQ DEFIBRILLATOR,"$138,068.44 "
HC INSERT VAD ARTERY ACCESS,"$24,283.07 "
HC LEADLESS C PM INS/RPL VENTR,"$65,250.45 "
HC OPEN/PERQ PLACE STENT 1ST,"$36,479.78 "
HC OPEN/PERQ PLACE STENT EA ADD,"$17,509.96 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT SAME 1ST,"$32,425.90 "
HC PERC D-E COR REVASC CHRO SIN,"$25,497.57 "
HC PERC D-E COR REVASC T CABG B,"$25,497.57 "
HC PERC D-E COR REVASC T CABG S,"$25,497.57 "
HC PERC D-E COR REVASC W AMI S,"$25,497.57 "
HC PERC D-E COR STENT ATHER BR,"$25,497.57 "
HC PERC D-E COR STENT ATHER S,"$25,497.57 "
HC PERC DRUG-EL COR STENT BRAN,"$25,497.57 "
HC PERC DRUG-EL COR STENT SING,"$25,497.57 "
