Description,Price
BCE FACTOR 9,$4.00 
FACTOR 8,$6.00 
FACTOR 9,$6.00 
FACTOR 7,$8.00 
4F-PCC,$13.00 
BCE FACTOR 8,$37.00 
CRYO POOLED POOL FEE,$97.00 
MINI-RHIG,$103.00 
LEUKO-REDUCT FILTER,$324.00 
CRYO,$689.00 
CRYO THAWED,$689.00 
FFP,$942.00 
FFP - CRYO RED,$942.00 
FFP - CRYO RED THAWED,$942.00 
FFP DIVIDED,$942.00 
FFP PHER,$942.00 
FFP PHER THAWED,$942.00 
FFP THAWED,$942.00 
24 HR  PLASMA THAWED,$947.00 
24HR CPD PLASMA THAW,$947.00 
FROZN PLASMA W/N 24H,$947.00 
RBC CP2D LR DIV,$954.00 
RBC CP2D IRR,"$1,452.00 "
RHIG,"$1,570.00 "
RBC AS1 IRR,"$1,768.00 "
AS3 LR IRR LO VOL,"$1,803.00 "
PHER RBC AS3 LR IRR,"$1,803.00 "
PHER RBC1 AS3 LRIRR,"$1,803.00 "
PHER RBC1 AS1 LR IRR,"$1,803.00 "
PHER RBC2 AS3 LRIRR,"$1,803.00 "
PHER RBC2 AS1 LR IRR,"$1,803.00 "
RBC AS1 LR IRR,"$1,803.00 "
RBC AS5 LR IRR,"$1,803.00 "
RBC CP2D LR IRR,"$1,803.00 "
RBC CPD LR IRR,"$1,803.00 "
RBC CPDA LR IRR,"$1,803.00 "
RBC LR IRR,"$1,803.00 "
WASHED PRBC,"$1,852.00 "
WASHED RBC IRR,"$1,852.00 "
24 HR  PLASMA DIV THAWED,"$1,857.00 "
24HR PLASMA THAW DIV,"$1,857.00 "
ACDA AS3 1,"$1,857.00 "
ACDA AS3 1 DIV,"$1,857.00 "
ACDA AS3 1 LR DIV,"$1,857.00 "
ACDA AS3 1 LR,"$1,857.00 "
ACDA AS3 2,"$1,857.00 "
ACDA AS3 2 DIV,"$1,857.00 "
ACDA AS3 2 LR,"$1,857.00 "
ACDA AS3 2 LR DIV,"$1,857.00 "
ACDA AS3 LR,"$1,857.00 "
ACDA AS3 LR DIV,"$1,857.00 "
AS-1 RBC LOW VOL,"$1,857.00 "
AS-1 RBC LOW VOL DIV,"$1,857.00 "
AS-3 RBC LOW VOL,"$1,857.00 "
AS-3 RBC LOW VOL DIV,"$1,857.00 "
AS3 IRR LO VOL,"$1,857.00 "
AS3 IRR LO VOL DIV,"$1,857.00 "
AS3 LR IRR LO VOL DIV,"$1,857.00 "
AS3 LR LO VOL,"$1,857.00 "
AS3 LR LO VOL DIV,"$1,857.00 "
AUTO RBC AS1,"$1,857.00 "
AUTO RBC AS3,"$1,857.00 "
AUTO RBC AS5,"$1,857.00 "
AUTO RBC AS5 DIV,"$1,857.00 "
AUTO RBC AS3 DIV,"$1,857.00 "
AUTO RBC AS1 DIV,"$1,857.00 "
AUTO RBC CPD,"$1,857.00 "
AUTO RBC CPD DIV,"$1,857.00 "
AUTO WB CPDA,"$1,857.00 "
CPDA-1 RBC LR,"$1,857.00 "
CPDA-1 RBC LR DIV,"$1,857.00 "
DEGLYC REJUV RBC DIV,"$1,857.00 "
DEGLYCD RBCS DIV,"$1,857.00 "
DIR RBC AS1,"$1,857.00 "
DIR RBC AS1 DIVIDED,"$1,857.00 "
DIR RBC AS3,"$1,857.00 "
DIR RBC AS3 DIV,"$1,857.00 "
DIR RBC AS5,"$1,857.00 "
DIR RBC AS5 DIV,"$1,857.00 "
DIR RBC CPD,"$1,857.00 "
FFP DIV THAWED,"$1,857.00 "
FFP DIVIDED THAWED,"$1,857.00 "
FFP DIVIDED DIV THAWED,"$1,857.00 "
