Description,Price
ABG WITH MEAS O2 SAT    ,842.75
DIRECT REFERRAL TO OBS  ,1581.63
DIRECT REFERRAL TO OBS  ,1581.63
DIRECT REFERRAL TO OBS  ,1581.63
DIRECT REFERRAL TO OBS  ,1581.63
DIRECT REFERRAL TO OBS  ,1464.48
DIRECT REFERRAL TO OBS  ,1581.63
NM LYMPHIMAG            ,2657.74
SCREW SI-LOK 10X35MM HA ,20800
PREADMIT UNIT           ,1660
RETRIEVER SUTURE SML    ,242
RETRIEVER SUTURE MED    ,176.5
NEEDLE BX 19GA 5.4CM    ,81
CYTAL 1 SQCM            ,219.75
STEM HUM UNV REVERS CAPS,24850
CLONIDINE 0.1 MG TAB    ,12.49
QUININE TAB 300 MG      ,19.76
MINOCYCLINE CAP 100 MG  ,25.14
NAIL 10MM 36CM LT INTRTN,26215
AVENTYL HCL CAP 25MG    ,30.52
COLCHICINE TAB 0.6MG    ,19.76
PHENOBARB TAB 30 MG     ,32.33
PHENOBARB TAB 100 MG    ,32.33
ZAROXOLYN TAB 2.5 MG    ,19.76
KWIRE FX 1.1X100MM      ,250
ALLOPURINL TAB 300MG    ,19.76
MONITOR ICM REVEAL LINQ ,32515
METHADONE TAB 5MG       ,12.56
PROPYLTHIOURACIL TAB    ,30.52
METHIMAZOLE TAB 5 MG    ,11.56
NITROPRUSSIDE 50 MG INJ ,445.52
METHADONE 50 MG/5ML     ,256.85
VIBRAMYCIN 100 MG VL    ,578.36
SCREW BN CORT           ,869
SCREW 5.9X40MM CANCL    ,2590
GLUCAGON 1 MG INJ       ,995.13
MESH SYMBOTEX ROUND 12CM,3317.25
EPHEDRINE SULF 50MG     ,80.83
WIRE K TRA FX 03MMX285MM,1304.25
SLEEVE HLD 8-11MM T2 NL ,1241.5
CORTISPORIN TC OTIC 10ML,372.99
SCREW BN TI L12M 150.612,1150
BLDE SAW SGTL S6 90X1   ,566.75
SULAMYD DPS 10% 15ML    ,326.9
SLEEVE LD IS-4 DF-4 CONN,1134
FLANGE MOLDBL 1 3/4 XS  ,13.25
NA BICARB TAB 10 GR     ,30.52
BARRIER SKN 5X5X2.25IN  ,13.25
ISONIAZID TAB 100 MG    ,19.76
RABIES VACCINE IM       ,2705.83
SUSC MIC                ,553.54
IGG SUBCLASSES EA       ,1532.91
PTH RELATED PROTEIN RIA ,186.99
TACROLIMUS QUANT        ,2665.91
MAGNESIUM RBC           ,64.8
T3 FREE                 ,836.82
A-1-ANTITRYPSIN PHENO   ,298.05
CA 27-29 QN             ,562.81
FRUCTOSAMINE            ,801.63
PROTEIN C ACTIVITY      ,1407
JO-1 ANTIBODY           ,499.85
VITAMIN D 1-25 W/WO FRAC,1562.54
OSMOLALITY UR           ,381.37
RETICULIN FA AB IGG SCR ,620.2
RETICULIN FA AB IGA SCR ,620.2
HERPES SIMPLEX 1 AB IGM ,111.06
NEUR NUC AB 1 HU WB&BAND,1270.01
NEURON NUC AB 2 RI WB BD,1270.01
DENGUE VIRUS AB QL      ,588.72
HERPES SIMPLEX 2 AB IGG ,111.06
HOLDER IMPL TEMP DISP   ,1207.5
PLATE DISTAL LT 3 HOLE  ,8993
SINEMET TAB 25/250      ,19.76
SINEMET TAB 10/100      ,19.76
SIMENET CR 50/200 TAB   ,30.52
NA BICARB 8.4% 50ML     ,258.65
UA W O MICRO MANUAL     ,122.17
BLOOD URINE MANUAL      ,116.63
HYCODAN SYR 5ML         ,21.55
GRAFT CV PTFE L5 25056  ,9350
PROTEIN UR QUAL MAN     ,105.51
SPEC GRAV UR MANUAL     ,68.5
UA W O MICRO MANUAL     ,301.76
AMOXICILLIN 250 5ML     ,44.91
GLUC UR QUAL AUTO       ,16.66
CTHDX IMG2 5F 038 BRN40 ,120.75
DEXAMETH ORAL LQ 1MG/ML ,14.36
SCREW BN 4.2X16MM TI SI ,1990
MYCOSTATIN PWR 15 GM    ,247.86
DILANTIN-125 5ML        ,21.55
PLATE 105MM 4 LVL BN ANT,9677.25
TOOL LEGEND 14BA90      ,1050
KAYEXALATE PWR 15 GM    ,37.7
FLUDARABINE PHOS 50MG   ,2290.62
TUBRCLN TINE TEST       ,32.33
STEM RAD TTL 9.0X4.0    ,21570
DIAMOX TAB 250 MG       ,37.7
AMINOCAPROIC TAB .5G    ,37.7
AMINOCAPROIC 20ML VL    ,382.58
CATH STRLG 6X150MM 150CM,2897.5
ACTH QN                 ,1216.3
AMINOLEVULINIC ACID ALA ,814.58
DNASE ANTIBODY          ,697.93
CALCIUM IONIZED         ,514.67
CALCITONIN              ,1238.53
TENORMIN TAB 50 MG      ,32.33
CARVEDILOL TAB 12.5 MG  ,30.52
ALPROSTADIL 500 MCG INJ ,1747.63
TOOL 7.5CM 1MM BALL LGND,1638
COGENTIN TAB 0.5 MG     ,19.76
ESTROGEN TOTAL          ,603.54
AMITRIPTYLN TAB 10MG    ,21.55
INDOCIN CAP 25 MG       ,21.55
HYDRODIURIL TAB 25MG    ,21.55
FLAGYL 500 MG VIAL      ,747.19
ESTRADIOL               ,907.15
GTT 1ST 3 SPECIMENS     ,1308.89
GASTRIN                 ,583.18
ALDOMET TAB 250 MG      ,21.55
SMEAR INDIA INK         ,422.1
BENEMID TAB 0.5 GM      ,21.55
LACTIC ACID             ,248.08
HC TAB 10 MG            ,30.52
OSMOLALITY BLD          ,298.05
OSMOLALITY UR           ,381.37
PTH INTACT              ,1175.6
PROGESTERONE            ,664.62
ANTIVENIN BLK WIDOW     ,373.59
TISSEEL 2 ML TOPICAL    ,1069.5
SET CAP SCREW 40MM      ,43.25
SCREW BN 4.5X48MM TIAL6V,1100
DRSG NON-ADHERNT 4X3    ,4.75
DRAIN DAVOL 80450       ,79.5
LIDOCAIN IV 2000MG/500ML,583.75
AMINOSYN-RF 300ML BT    ,578.23
CAPOTEN TAB 25 MG       ,21.55
STAPLE RELOAD 059038    ,96
D50W 500/1000ML BAG     ,380.51
TOBREX OPHTH DPS 5ML    ,217.33
THORAZINE SUP 25 MG     ,30.52
THORAZINE TAB 25 MG     ,30.52
BACTRIM 5ML AMP         ,260.45
PACK ARTHROSCOPY        ,411.5
LEUK EST UR AUTO        ,16.66
UA MICRO ONLY           ,99.06
CATH THORACIC ST 36 FR  ,35.25
PIN JTX LNG 35X5MM      ,1423
GLUCOSE 1 HR W GLUCOLA  ,433.21
CREATININE UR           ,323.98
ATOVAQUONE SUS 750MG/5ML,122.13
BACTRIM SUS 20ML        ,44.91
LIGASURE SLR/DVDR 18MM  ,3940.25
SCREW BN 4X70MM LCK AX  ,2116.5
CANOPY CROUPETTE        ,115.75
SUPPORT ORTHOTIC SML    ,237.25
SUPPORT ORTHOTIC MED    ,251.5
SPEAR WECK CELL SURG    ,17.75
PAD RING #1232-126      ,76
STRAP RING MED          ,79.5
STRAP RING LRG          ,87.75
AIDE REPOSITION SMUG    ,111.25
SCREW BN 4X32MM LCK AX  ,2115.5
SCREW BN 3.5X34MM CORT A,389
CATH UMBIL 3.5 FR       ,59.75
CATH UMBIL 5 FR .       ,59.75
SRFC ARTC 13MM PRSN3-7CD,6375
CALCIPARINE 5000 U     ,177.83
PB 130 MG TUBEX         ,111.37
PAREGORIC LIQ 5ML       ,21.55
SP GRAV BDY FLUID NOT UR,68.5
CMPNT FEM F6N KN RT VGA ,13500
CORTISONE TAB 25 MG     ,32.33
STENT VASC 6X100CM PER  ,13462.5
WIRE ZIMALOY 20G        ,59.75
POST TPR 30MM 9MM HMICAP,4250
BEVACIZUMAB 100 MG INJ  ,4295.2
BACITRACIN 50000 U     ,292.78
SPACER HUM 36MM UNIV REV,5950
MORPHINE SU IR TAB 30 MG,61.08
MORPHINE TAB SR 15MG    ,64.65
GELFOAM CMPR SZ 100     ,292
GELFOAM PWR 1 GM        ,178
IPRATROPM NHALR 14G     ,323.3
NEOMYCIN SULFATE .5G    ,32.33
METOCLOPRAMIDE 10 MG TAB,12.49
LACT RINGR 1000ML BT    ,327.33
SCREW V-AX NLCK 3.5X14  ,1001.5
SCREW V-AX FT LCK 3.5X20,2006
CULT CHLAMYDIA          ,596.12
VERAPAMIL 5 MG AMP      ,675.36
CYCLOGYL 1% 2ML         ,140.09
PROSTHESIS PENL 700 18CM,50221.25
BLADE DUAL TRAB KAHOOK  ,3612.5
FIBRINOGEN ACTIVITY     ,603.54
CATH GD 130D CRV 7.1F   ,2327.5
GENTAMICIN (GARAMYCIN)  ,801.63
CATH 6250V-EH ATTAINCMND,2641
AMMONIA                 ,490.6
CATH 6250VMPR ATAIN CMND,2641
CATH 6250VC ATAIN CMND  ,6375
RETRIEVR RETN SUTURE    ,162.5
CALCIUM UR TIMED QN     ,457.28
HCG BETA QUANTITATIVE   ,938.63
COIL EMBL 6CM 3MM INTLK ,3294.25
CYSTINE QN              ,370.26
STENT WLFLX 12X230 10FR ,18712.5
TROCAR TIP DILAT W/STAB ,228.25
INSERT ACTB 36MM 0D D XP,6375
IMPLANT IRIX-C CRVCL 9MM,15680
CULT MYCOPLASMA         ,290.65
SCREW SLF DRIL 3.5X12MM ,1150
ALDACTONE TAB 25 MG     ,30.52
FLAGYL TAB 250 MG       ,21.55
TRIDIL 50 MG AMP        ,704.09
BSPLT TIB ATUN 9 RP CMNT,8400
VANCENASE INHALER       ,233.5
INSERT TIB ATTN KN 9 5MM,7600
STAPLE BN FSFRC 15X15MM ,13500
PTH C TERMINAL          ,1884.65
LIPOSYN II 20 500 BT    ,986.99
INSRT TIB4 20MM PST STB ,7600
SUCRALFATE TAB 1 GM     ,21.55
PROCARDIA CAP 10 MG     ,30.52
DANTROLENE CAP 25 MG    ,32.33
DIVALPROEX TAB 500MG    ,41.31
VALPROATE INJ  500MG/5ML,111.37
LEAD QUAD 78CM ATN PRFRM,13906
SCREW F/A S/D 4.5X11    ,1725
STENT GRAFTMSTR 2.8X16MM,17962.5
STENT GRFTMSTR FX 3.5X16,17962.5
COMPNT PTLR 32MM ANTM   ,3150
COMPONENT PTLR 35MM ANTM,3150
COMPONENT PTLR 38MM ANT ,3825
STEM SHLDR 13X83 LONG   ,22610
DESYREL TAB 50 MG       ,30.52
XR FLUORO FOR SPINE INJ ,603.9
ALBUTROL INHALR DOSE    ,30.52
STENT GRAFT 2.8X19MM    ,17962.5
ROD CONN MRI EXFX 174X8 ,2705
DOP ART >3 LEVELS BIL   ,1088.19
SCREW BN 4.2X34MM ORTHO ,1828.75
OLIGOCLONAL BANDS       ,688.69
DYNAPEN CAP 250 MG      ,37.7
FILGRASTIM 300 MCG INJ  ,2169.18
FILGRASTIM 480 MCG INJ  ,3764.65
OPRELVEKIN 5 MG         ,2142.99
COMP KNEE D12MM SZ T1-3 ,2722.5
POUCH UROS GRN 1.75X9 IN,8.25
OBTURATOR SURG 14MM COLU,2722.5
SULINDAC TAB 200 MG     ,25.14
NEEDLE BX 20GA 16CM TRCR,81
GTT EA ADDTL >3 SPEC    ,157.37
HYDROCODN7-/APAP TAB    ,37.7
HYDROCODO/APAP 10/500 TA,41.31
TERAZOSIN TAB 5 MG      ,30.52
HINGE TIBIAL            ,15360
LIDOCAINE HCL 4% 5ML    ,131.11
CATH OCL CODA 9F 120CM  ,3655
CHLORHEXIDINE GLU 15 ML ,25.14
KNIFE SURG BYNT 188MM   ,2573.75
CARBOPROST 250MCG INJ   ,346.04
VITAMIN B2 (RIBOFL)     ,157.37
HEAD HUM 42MM REV SMR   ,14002.5
DRSNG COMPRILAN 3.9X5.5 ,68.75
CATH ARMDA PTA 7X135X80 ,997.5
CATH ARMDA PTA 7X135X100,997.5
SCREW CANC TI 5.0X45    ,1850
CHARCOAL 25GM IN LIQ    ,44.91
CATH ARMDA PTA 9X135X40 ,1140
CATHETER BLNDIL 9X135X60,997.5
CATHETER BLNDIL 9X135X80,997.5
CATH ARMDA PTA 10X135X40,997.5
CATHETER BLNDL 10X135X60,997.5
CATHETER BLNDL 10X135X80,997.5
CATH ARMDA PTA 12X135X40,997.5
SCREW PERPH LCK 30MM UNV,1111
CUP HUM 39MM UNIVERS REV,12008
REV OPN AV FSTL W/THRMB ,3024.21
REV OPN AV FSTL W/O THRB,3263.1
US ENCEPHALOGRAM        ,954
ONDANSETRON 2 MG INJ    ,562.84
CAP LD SJ4              ,400
LEUPRO DEPOT 3.75 MG INJ,4163.72
CALORIE # DAILY/M.D.    ,39.06
LEAD DRATA AF 712265    ,35625
THEO-ORGANIDIN 30ML     ,32.33
NDL COAPTITE 14.6X21GA  ,425.5
SINEQUAN CAP 10 MG      ,21.55
SINEQUAN CAP 25 MG      ,21.55
BIT DRL ASNS 2.7MM      ,2769.75
CYCLOSPORINE QUANT      ,744.23
INSERT UNV RVRS M +3X39 ,6832
NESACAINE-MPF 2% 20ML   ,76.75
NESACAINE-MPF 3% 20ML   ,79.99
MONITOR HRT RVEAL PT AST,36712.5
STEM FEM STD OFST 160X16,16875
DEFIB CARD QD DTBA1QQ   ,85470
BX SALIVARY GLAND       ,633.29
TOCOLYTIC THERAPY RN    ,1078.05
OSELTAMIVIR CAP 75 MG   ,55.68
ZANAMIVIR DISKHALER     ,271.21
LIFESTENT 5MMX60MMX130CM,9350
STENT BIL LFSTN 5X40X130,9350
H2O STER IRR 1000ML     ,186.81
WATER IRRIG 1000 BAG    ,240.94
PLASMINOGEN             ,722.02
SPIKE BN LNG FEM CT BLCK,517.25
